id,address,lot_type,last_list_price,builder,agent,lot_sqft,building_sqft,mls_number,date_off_market,disposition,lat,lng,notes
act_1520-nicholson,1520 Nicholson Street,Single Lot,"$1,499,000",Collaborative Homes,Robert Wood,3635,,,2026-07-27,unconfirmed,29.798457,-95.405299,Off market as of 2026-07-27. Active inventory — Single Lot. Builder: Collaborative Homes. Agent: Robert Wood.
act_1524-w-21st-st,1524 W 21st St,Split Lot,"$689,900",Aspen Grey Homes,Thu-Anh Nguyen,2750,,,2026-07-27,unconfirmed,29.804621,-95.427078,Off market as of 2026-07-27. Active inventory — Split Lot. Builder: Aspen Grey Homes. Agent: Thu-Anh Nguyen. (location approximate). Est. completion: 2026-04-30.
act_231-e-26,231 E 26th Street,Single Lot,"$1,599,000",Active listing,Diane Kingshill,3920,,,2026-07-27,terminated,29.810997,-95.397426,Off market as of 2026-07-27. Active inventory — Single Lot. Agent: Diane Kingshill. (location approximate).
act_2612-greenleaf,2612 Greenleaf Street,Single Lot,"$2,299,000",Texas Oak Custom Builders,Laura Ruppert,5426,,,2026-07-27,unconfirmed,29.7825,-95.381,Off market as of 2026-07-27. Active inventory — Single Lot. Builder: Texas Oak Custom Builders. Agent: Laura Ruppert. (location approximate).
act_406-e-28th-street,406 E 28th Street,Split Lot,"$729,900",CORE BUILDERS LLC,Jorge Bolio,2700,,,2026-07-27,unconfirmed,29.8120645,-95.3942572,Off market as of 2026-07-27. Active inventory — Split Lot. Builder: CORE BUILDERS LLC. Agent: Jorge Bolio.
act_611-e-25th-street-unit-a,611 E 25th Street Unit#A,Split Lot,"$1,100,000",Greyden Building Group,Spencer Huck,3000,,,2026-07-27,under contract,29.8091743,-95.391728,Off market as of 2026-07-27. Active inventory — Split Lot. Builder: Greyden Building Group. Agent: Spencer Huck. Est. completion: 2026-05-31.
act_616-ridge,616 Ridge Street,Single Lot,"$1,800,000",Hausloga LLC,Mariana Garcia Gomez,3960,,,2026-07-27,under contract,29.78314,-95.378791,Off market as of 2026-07-27. Active inventory — Single Lot. Builder: Hausloga LLC. Agent: Mariana Garcia Gomez. Est. completion: 2026-03-23.
2131432164,"709 E 17th St, Houston, Tx 77008",Single Lot,"$1,789,000",Enterra Homes,Tommy Walker (City Brix Group),5000,,,2026-07-27,under contract,29.800869,-95.390562,"Off market as of 2026-07-27. Listed 2026-07-05 · $1,789,000 · Agent: Tommy Walker (City Brix Group)
Deed transfer 2026-01-13 · Enterra Homes Llc · assessed $758,505
Phase: Exterior appears finished, maybe interior/landscaping work being done
Timeline: 2 Months
Builder: Enterra Homes"
act_709-ridge,709 Ridge Street,Single Lot,"$1,709,000",The Modern Bungalow Co.,Melissa Kubala,,,,2026-07-27,sold,29.783122,-95.380093,Off market as of 2026-07-27. Active inventory — Single Lot. Builder: The Modern Bungalow Co.. Agent: Melissa Kubala. Est. completion: 2026-06-30. Deed transfer 2025-09-18 · Coffee Plant Demos Llc.
act_710-e-18,710 E 18th Street,Single Lot,"$1,599,000",Greyden Building Group,Caroline Schlemmer,4158,,,2026-07-27,under contract,29.802183,-95.392651,Off market as of 2026-07-27. Active inventory — Single Lot. Builder: Greyden Building Group. Agent: Caroline Schlemmer.
act_814-w-17th-street,814 W 17TH Street,Split Lot,"$799,900",Mazzarino Cons & Dev,Blake Vincent,2496,,,2026-07-27,under contract,29.8005068,-95.4129114,Off market as of 2026-07-27. Active inventory — Split Lot. Builder: Mazzarino Cons & Dev. Agent: Blake Vincent. Est. completion: 2026-07-31.
act_815-lawrence-street-unit-a,815 Lawrence Street Unit#A,Split Lot,"$1,099,000",Greyden Building Group,Spencer Huck,3112,,,2026-07-27,sold,29.7857969,-95.4070897,Off market as of 2026-07-27. Active inventory — Split Lot. Builder: Greyden Building Group. Agent: Spencer Huck. Est. completion: 2026-03-17.
act_816-w-17th-street,816 W 17TH Street,Split Lot,"$799,900",Mazzarino Cons & Dev,Blake Vincent,2496,,,2026-07-27,under contract,29.8004278,-95.4129598,Off market as of 2026-07-27. Active inventory — Split Lot. Builder: Mazzarino Cons & Dev. Agent: Blake Vincent. Est. completion: 2026-12-31.
act_826-ralfallen,826 Ralfallen Street,Single Lot,"$1,679,000",The Modern Bungalow,Melissa Kubala,3551,,,2026-07-27,under contract,29.797606,-95.388649,Off market as of 2026-07-27. Active inventory — Single Lot. Builder: The Modern Bungalow. Agent: Melissa Kubala. Est. completion: 2026-07-20. Deed transfer 2025-10-15 · 1977 Ventures Llc.
act_833-w-25th-street,833 W 25th Street,Split Lot,"$769,900","CORE BUILDERS, LLC",Jorge Bolio,3275,,,2026-07-28,terminated,29.808892,-95.413164,"Off market as of 2026-07-27. Active inventory — Split Lot. Builder: CORE BUILDERS, LLC. Agent: Jorge Bolio."
