market,address,id,stored,classifier,candidate,confidence,reason,judgment
index,"615 Allston St, Houston, Tx 77007",2131149358,Single Lot,Split Lot,Split Lot,high,fragment only; units=1 (one address); master_size=None (none); depth_ft=131.9988; geometry=HCAD unique exact-address polygon; parcel=0210060000037; parcel_history=none,"Unresolved: classifier measures a deep fragment/replat parcel, but that does not prove two homes or invalidate a reviewed Single label. Obtain the plat; retain stored label."
index,"616 E 5th St, Houston, Tx 77007",2131190507,Single Lot,Unknown,Split Lot,unknown,replat child; units=1 (one address); master_size=None (none); depth_ft=125.0111; geometry=HCAD unique exact-address polygon; parcel=0210380000001; parcel_history=none,Retain stored label: classifier abstains; missing or inconclusive evidence is not a contradiction.
index,"314 W 21st St, Houston, Tx 77008",2131186599,Split Lot,Unknown,Unknown,unknown,no legal; units=1 (one address); master_size=None (none); depth_ft=None; geometry=ambiguous exact-address accounts; parcel=unavailable; parcel_history=none,Retain stored label: classifier abstains; missing or inconclusive evidence is not a contradiction.
index,"713 E 26th St, Houston, Tx 77009",2131192874,Split Lot,Unknown,Unknown,unknown,assembled 2 lots -> needs_review; units=1 (one address); master_size=2 (25087111); depth_ft=120.4902; geometry=HCAD unique exact-address polygon; parcel=0350840280025; parcel_history=none,Retain stored label: classifier abstains; missing or inconclusive evidence is not a contradiction.
index,"344 Harvard St, Houston, Tx 77007",2131190693,Single Lot,Common Driveway,Common Driveway,high,fragment only; units=1 (one address); master_size=None (none); depth_ft=80.9999; geometry=HCAD unique exact-address polygon; parcel=0210430000025; parcel_history=none,Classifier provisionally preferred: short exact-address parcel plus subdivision/unit evidence supports common access; access still needs human confirmation.
index,"1402 W 14th St, Houston, Tx 77008",2131225773,Single Lot,Unknown,Unknown,unknown,assembled 2 lots -> needs_review; units=1 (one address); master_size=None (none); depth_ft=99.6501; geometry=HCAD unique exact-address polygon; parcel=0391270000026; parcel_history=none,Retain stored label: classifier abstains; missing or inconclusive evidence is not a contradiction.
index,"637 E 6th 1/2 St, Houston, Tx 77007",2131226721,Single Lot,Unknown,Split Lot,unknown,replat child; units=1 (one address); master_size=None (none); depth_ft=135.2857; geometry=HCAD unique exact-address polygon; parcel=0400460000017; parcel_history=none,Retain stored label: classifier abstains; missing or inconclusive evidence is not a contradiction.
index,"1310 Omar St, Houston, Tx 77008",2131241262,Single Lot,Unknown,Unknown,unknown,assembled 2 lots -> needs_review; units=1 (one address); master_size=None (none); depth_ft=125.2946; geometry=HCAD unique exact-address polygon; parcel=0350240460009; parcel_history=none,Retain stored label: classifier abstains; missing or inconclusive evidence is not a contradiction.
index,"1533 Herkimer St, Houston, Tx 77008",2131284485,Single Lot,Split Lot,Split Lot,high,lot + fragment; units=1 (one address); master_size=None (none); depth_ft=120.0007; geometry=HCAD unique exact-address polygon; parcel=0201440000029; parcel_history=none,"Unresolved: classifier measures a deep fragment/replat parcel, but that does not prove two homes or invalidate a reviewed Single label. Obtain the plat; retain stored label."
index,"1448 W 25th St, Houston, Tx 77008",2131330121,Single Lot,Split Lot,Split Lot,high,fragment only; units=1 (one address); master_size=None (none); depth_ft=151.0852; geometry=HCAD unique exact-address polygon; parcel=0561650000278; parcel_history=none,"Unresolved: classifier measures a deep fragment/replat parcel, but that does not prove two homes or invalidate a reviewed Single label. Obtain the plat; retain stored label."
index,"1330 W 24th St, Houston, Tx 77008",2131330283,Single Lot,Split Lot,Split Lot,high,fragment only; units=1 (one address); master_size=None (none); depth_ft=150.2135; geometry=HCAD unique exact-address polygon; parcel=0561650000372; parcel_history=none,"Unresolved: classifier measures a deep fragment/replat parcel, but that does not prove two homes or invalidate a reviewed Single label. Obtain the plat; retain stored label."
index,"1534 Beall St, Houston, Tx 77008",2131331686,Single Lot,Split Lot,Split Lot,high,fragment only; units=1 (one address); master_size=None (none); depth_ft=146.2453; geometry=HCAD unique exact-address polygon; parcel=0561670000387; parcel_history=none,"Unresolved: classifier measures a deep fragment/replat parcel, but that does not prove two homes or invalidate a reviewed Single label. Obtain the plat; retain stored label."
index,"614 E 26th St, Houston, Tx 77008",2131193931,Single Lot,Unknown,Unknown,unknown,assembled 2 lots -> needs_review; units=1 (one address); master_size=None (none); depth_ft=120.2149; geometry=HCAD unique exact-address polygon; parcel=0350900400006; parcel_history=none,Retain stored label: classifier abstains; missing or inconclusive evidence is not a contradiction.
index,"704 E 26th St, Houston, Tx 77009",2131194068,Single Lot,Common Driveway,Common Driveway,high,fragment only; units=1 (one address); master_size=None (none); depth_ft=74.9998; geometry=HCAD unique exact-address polygon; parcel=0350910410008; parcel_history=none,Classifier provisionally preferred: short exact-address parcel plus subdivision/unit evidence supports common access; access still needs human confirmation.
index,"830 E 26th St, Houston, Tx 77009",2131194125,Single Lot,Unknown,Unknown,unknown,assembled 2 lots -> needs_review; units=1 (one address); master_size=None (none); depth_ft=120.0007; geometry=HCAD unique exact-address polygon; parcel=0350910420014; parcel_history=none,Retain stored label: classifier abstains; missing or inconclusive evidence is not a contradiction.
index,"602 E 29th St, Houston, Tx 77008",2131207363,Single Lot,Unknown,Unknown,unknown,assembled 2 lots -> needs_review; units=1 (one address); master_size=None (none); depth_ft=120.4051; geometry=HCAD unique exact-address polygon; parcel=0350760110016; parcel_history=none,Retain stored label: classifier abstains; missing or inconclusive evidence is not a contradiction.
index,"608 E 29th St, Houston, Tx 77008",2131207382,Single Lot,Unknown,Unknown,unknown,assembled 4 lots -> needs_review; units=1 (one address); master_size=None (none); depth_ft=120.8094; geometry=HCAD unique exact-address polygon; parcel=0350760110018; parcel_history=none,Retain stored label: classifier abstains; missing or inconclusive evidence is not a contradiction.
index,"704 E 28th St, Houston, Tx 77009",2131208326,Single Lot,Common Driveway,Common Driveway,high,fragment only; units=1 (one address); master_size=None (none); depth_ft=92.542; geometry=HCAD unique exact-address polygon; parcel=0350810220008; parcel_history=none,Classifier provisionally preferred: short exact-address parcel plus subdivision/unit evidence supports common access; access still needs human confirmation.
index,"1006 E 28th St, Houston, Tx 77009",2131208502,Single Lot,Unknown,Unknown,unknown,assembled 2 lots -> needs_review; units=1 (one address); master_size=None (none); depth_ft=120.0; geometry=HCAD unique exact-address polygon; parcel=0350820240004; parcel_history=none,Retain stored label: classifier abstains; missing or inconclusive evidence is not a contradiction.
index,"1703 Yale St, Houston, Tx 77008",2131283678,Single Lot,Split Lot,Split Lot,high,fragment only; units=1 (one address); master_size=None (none); depth_ft=103.4027; geometry=HCAD unique exact-address polygon; parcel=0201150000048; parcel_history=none,"Unresolved: classifier measures a deep fragment/replat parcel, but that does not prove two homes or invalidate a reviewed Single label. Obtain the plat; retain stored label."
index,"1518 Herkimer St, Houston, Tx 77008",2131284475,Single Lot,Split Lot,Split Lot,high,lot + fragment; units=1 (one address); master_size=None (none); depth_ft=132.0002; geometry=HCAD unique exact-address polygon; parcel=0201440000011; parcel_history=none,"Unresolved: classifier measures a deep fragment/replat parcel, but that does not prove two homes or invalidate a reviewed Single label. Obtain the plat; retain stored label."
index,"122 Redan St, Houston, Tx 77009",2131318105,Single Lot,Unknown,Split Lot,unknown,replat child; units=1 (one address); master_size=None (none); depth_ft=127.0004; geometry=HCAD unique exact-address polygon; parcel=0342540000006; parcel_history=none,Retain stored label: classifier abstains; missing or inconclusive evidence is not a contradiction.
index,"1120 E 26th St, Houston, Tx 77009",2131318242,Split Lot,Unknown,Unknown,unknown,assembled 2 lots -> needs_review; units=1 (one address); master_size=2 (26013221); depth_ft=120.0051; geometry=HCAD unique exact-address polygon; parcel=0350920440012; parcel_history=none,Retain stored label: classifier abstains; missing or inconclusive evidence is not a contradiction.
index,"500 Aurora St, Houston, Tx 77008",2131318619,Single Lot,Unknown,Unknown,unknown,assembled 2 lots -> needs_review; units=1 (one address); master_size=None (none); depth_ft=120.0008; geometry=HCAD unique exact-address polygon; parcel=0350950500001; parcel_history=none,Retain stored label: classifier abstains; missing or inconclusive evidence is not a contradiction.
index,"1030 W 8th St, Houston, Tx 77007",2131383427,Single Lot,Unknown,Common Driveway,unknown,replat child; units=1 (one address); master_size=None (none); depth_ft=89.4144; geometry=HCAD unique exact-address polygon; parcel=0600950010004; parcel_history=none,Retain stored label: classifier abstains; missing or inconclusive evidence is not a contradiction.
index,"1230 W 26th St, Houston, Tx 77008",2131436719,Single Lot,Split Lot,Split Lot,high,fragment only; units=1 (one address); master_size=None (none); depth_ft=115.0001; geometry=HCAD unique exact-address polygon; parcel=0561630000103; parcel_history=none,"Unresolved: classifier measures a deep fragment/replat parcel, but that does not prove two homes or invalidate a reviewed Single label. Obtain the plat; retain stored label."
index,"310 E 25th St, Houston, Tx 77008",2131318733,Single Lot,Unknown,Unknown,unknown,assembled 2 lots -> needs_review; units=1 (one address); master_size=None (none); depth_ft=120.3263; geometry=HCAD unique exact-address polygon; parcel=0350980550005; parcel_history=none,Retain stored label: classifier abstains; missing or inconclusive evidence is not a contradiction.
index,"716 E 25th St, Houston, Tx 77008",2131318883,Single Lot,Unknown,Unknown,unknown,assembled 3 lots -> needs_review; units=1 (one address); master_size=None (none); depth_ft=120.0003; geometry=HCAD unique exact-address polygon; parcel=0351000590008; parcel_history=none,Retain stored label: classifier abstains; missing or inconclusive evidence is not a contradiction.
index,"110 Harris Ct, Houston, Tx 77009",2131378379,Single Lot,Unknown,Common Driveway,unknown,replat child; units=1 (one address); master_size=None (none); depth_ft=80.1227; geometry=HCAD unique exact-address polygon; parcel=0572570000010; parcel_history=none,Retain stored label: classifier abstains; missing or inconclusive evidence is not a contradiction.
index,"410 Merrill St, Houston, Tx 77009",2131421176,Single Lot,Unknown,Split Lot,unknown,replat child; units=1 (one address); master_size=None (none); depth_ft=128.3559; geometry=HCAD unique exact-address polygon; parcel=0503260000015; parcel_history=none,Retain stored label: classifier abstains; missing or inconclusive evidence is not a contradiction.
index,"310 Conoly St, Houston, Tx 77009",2131428357,Single Lot,Unknown,Split Lot,unknown,replat child; units=1 (one address); master_size=None (none); depth_ft=143.6264; geometry=HCAD unique exact-address polygon; parcel=0691180010003; parcel_history=none,Retain stored label: classifier abstains; missing or inconclusive evidence is not a contradiction.
index,"709 E 17th St, Houston, Tx 77008",2131432164,Single Lot,Unknown,Common Driveway,unknown,replat child; units=1 (one address); master_size=None (none); depth_ft=99.7824; geometry=HCAD unique exact-address polygon; parcel=0542950000034; parcel_history=none,Retain stored label: classifier abstains; missing or inconclusive evidence is not a contradiction.
index,"820 Waverly St A, Houston, TX 77007",pmt_820-waverly-st-a-77007,Split Lot,Unknown,Split Lot,unknown,no legal; units=2 (distinct address unit letters); master_size=None (none); depth_ft=None; geometry=unavailable; parcel=unavailable; parcel_history=none,Retain stored label: classifier abstains; missing or inconclusive evidence is not a contradiction.
index,"820 Waverly St B, Houston, TX 77007",pmt_820-waverly-st-b-77007,Split Lot,Unknown,Split Lot,unknown,no legal; units=2 (distinct address unit letters); master_size=None (none); depth_ft=None; geometry=unavailable; parcel=unavailable; parcel_history=none,Retain stored label: classifier abstains; missing or inconclusive evidence is not a contradiction.
index,"1811 Bonner St, Houston, TX 77007",pmt_1811-bonner-st-77007,Common Driveway,Unknown,Common Driveway,unknown,replat child; units=1 (one address); master_size=None (none); depth_ft=45.0002; geometry=HCAD unique exact-address polygon; parcel=1464940010002; parcel_history=none,Retain stored label: classifier abstains; missing or inconclusive evidence is not a contradiction.
index,"310 W 9th St, Houston, TX 77007",pmt_310-w-9th-st-77007,Split Lot,Unknown,Split Lot,unknown,replat child; units=1 (one address); master_size=2 (24067231); depth_ft=100.0001; geometry=HCAD unique exact-address polygon; parcel=1427070010001; parcel_history=none; measured depth within 0.01 ft of 100-ft boundary,Retain stored label: classifier abstains; missing or inconclusive evidence is not a contradiction.
index,"408 Columbia St, Houston, TX 77007",pmt_408-columbia-st-77007,Single Lot,Split Lot,Split Lot,high,"replat child; units=1 (one address); master_size=None (none); depth_ft=132.0001; geometry=HCAD unique exact-address polygon; parcel=1482430010001; parcel_history={'event': 'SPLIT', 'vintage': '2024_Oct->2025_Oct', 'parents': ['1414060010001'], 'children': ['1480720010001', '1480720010002', '1482440010001', '1482430010001', '1482430010002'], 'source': 'refresh/parcel_events.json'}","Unresolved: classifier measures a deep fragment/replat parcel, but that does not prove two homes or invalidate a reviewed Single label. Obtain the plat; retain stored label."
index,"410 Columbia St, Houston, TX 77007",pmt_410-columbia-st-77007,Single Lot,Split Lot,Split Lot,high,"replat child; units=1 (one address); master_size=None (none); depth_ft=131.9997; geometry=HCAD unique exact-address polygon; parcel=1482430010002; parcel_history={'event': 'SPLIT', 'vintage': '2024_Oct->2025_Oct', 'parents': ['1414060010001'], 'children': ['1480720010001', '1480720010002', '1482440010001', '1482430010001', '1482430010002'], 'source': 'refresh/parcel_events.json'}","Unresolved: classifier measures a deep fragment/replat parcel, but that does not prove two homes or invalidate a reviewed Single label. Obtain the plat; retain stored label."
index,"625 Oxford St, Houston, TX 77007",pmt_625-oxford-st-77007,Single Lot,Split Lot,Split Lot,high,"replat child; units=1 (one address); master_size=None (none); depth_ft=132.0005; geometry=HCAD unique exact-address polygon; parcel=1488260010002; parcel_history={'event': 'SPLIT', 'vintage': '2025_Oct->2026_Jul', 'parents': ['0210130000036'], 'children': ['1488260010002', '1488260010001'], 'source': 'refresh/parcel_events.json'}","Unresolved: classifier measures a deep fragment/replat parcel, but that does not prove two homes or invalidate a reviewed Single label. Obtain the plat; retain stored label."
index,"915 W 18th St B, Houston, TX 77008",pmt_915-w-18th-st-b-77008,Common Driveway,Unknown,Common Driveway,unknown,no legal; units=6 (distinct address unit letters); master_size=None (none); depth_ft=None; geometry=unavailable; parcel=unavailable; parcel_history=none,Retain stored label: classifier abstains; missing or inconclusive evidence is not a contradiction.
index,"1623 Blount St, Houston, TX 77008",pmt_1623-blount-st-77008,Single Lot,Unknown,Split Lot,unknown,replat child; units=1 (one address); master_size=None (none); depth_ft=100.0091; geometry=HCAD unique exact-address polygon; parcel=0542980000001; parcel_history=none,Retain stored label: classifier abstains; missing or inconclusive evidence is not a contradiction.
index,"409 E 27th St, Houston, TX 77008",pmt_409-e-27th-st-77008,Split Lot,Unknown,Unknown,unknown,no legal; units=1 (one address); master_size=2 (25105558); depth_ft=None; geometry=unavailable; parcel=unavailable; parcel_history=none,Retain stored label: classifier abstains; missing or inconclusive evidence is not a contradiction.
index,"629 E 26th St, Houston, TX 77008",pmt_629-e-26th-st-77008,Single Lot,Unknown,Unknown,unknown,assembled 2 lots -> needs_review; units=1 (one address); master_size=None (none); depth_ft=120.9974; geometry=HCAD unique exact-address polygon; parcel=0350850290026; parcel_history=none,Retain stored label: classifier abstains; missing or inconclusive evidence is not a contradiction.
index,"807 W 22nd St, Houston, TX 77008",pmt_807-w-22nd-st-77008,Split Lot,Unknown,Single Lot,unknown,"one whole lot; units=1 (one address); master_size=None (none); depth_ft=131.0002; geometry=HCAD unique exact-address polygon; parcel=0200470000041; parcel_history={'event': 'SPLIT', 'vintage': '2025_Oct->2026_Jul', 'parents': ['0200470000041'], 'children': ['0200470000041', '0200470000065'], 'source': 'refresh/parcel_events.json'}",Retain stored label: classifier abstains; missing or inconclusive evidence is not a contradiction.
index,"1410 Herkimer St, Houston, TX 77008",pmt_1410-herkimer-st-77008,Single Lot,Split Lot,Split Lot,high,lot + fragment; units=1 (one address); master_size=None (none); depth_ft=132.5366; geometry=HCAD unique exact-address polygon; parcel=0201450000013; parcel_history=none,"Unresolved: classifier measures a deep fragment/replat parcel, but that does not prove two homes or invalidate a reviewed Single label. Obtain the plat; retain stored label."
index,"1306 W 24th St F, Houston, TX 77008",pmt_1306-w-24th-st-f-77008,Common Driveway,Unknown,Common Driveway,unknown,no legal; units=6 (distinct address unit letters); master_size=6 (25049380); depth_ft=None; geometry=unavailable; parcel=unavailable; parcel_history=none,Retain stored label: classifier abstains; missing or inconclusive evidence is not a contradiction.
index,"1306 W 24th St E, Houston, TX 77008",pmt_1306-w-24th-st-e-77008,Common Driveway,Unknown,Common Driveway,unknown,no legal; units=6 (distinct address unit letters); master_size=6 (25049380); depth_ft=None; geometry=unavailable; parcel=unavailable; parcel_history=none,Retain stored label: classifier abstains; missing or inconclusive evidence is not a contradiction.
index,"1306 W 24th St D, Houston, TX 77008",pmt_1306-w-24th-st-d-77008,Common Driveway,Unknown,Common Driveway,unknown,no legal; units=6 (distinct address unit letters); master_size=6 (25049380); depth_ft=None; geometry=unavailable; parcel=unavailable; parcel_history=none,Retain stored label: classifier abstains; missing or inconclusive evidence is not a contradiction.
index,"1306 W 24th St C, Houston, TX 77008",pmt_1306-w-24th-st-c-77008,Common Driveway,Unknown,Common Driveway,unknown,no legal; units=6 (distinct address unit letters); master_size=6 (25049380); depth_ft=None; geometry=unavailable; parcel=unavailable; parcel_history=none,Retain stored label: classifier abstains; missing or inconclusive evidence is not a contradiction.
index,"1306 W 24th St B, Houston, TX 77008",pmt_1306-w-24th-st-b-77008,Common Driveway,Unknown,Common Driveway,unknown,no legal; units=6 (distinct address unit letters); master_size=6 (25049380); depth_ft=None; geometry=unavailable; parcel=unavailable; parcel_history=none,Retain stored label: classifier abstains; missing or inconclusive evidence is not a contradiction.
index,"1306 W 24th St A, Houston, TX 77008",pmt_1306-w-24th-st-a-77008,Common Driveway,Unknown,Common Driveway,unknown,no legal; units=6 (distinct address unit letters); master_size=6 (25049380); depth_ft=None; geometry=unavailable; parcel=unavailable; parcel_history=none,Retain stored label: classifier abstains; missing or inconclusive evidence is not a contradiction.
index,"433 W 23rd St, Houston, TX 77008",pmt_433-w-23rd-st-77008,Single Lot,Unknown,Unknown,unknown,assembled 3 lots -> needs_review; units=1 (one address); master_size=None (none); depth_ft=131.1129; geometry=HCAD unique exact-address polygon; parcel=0200420000034; parcel_history=none,Retain stored label: classifier abstains; missing or inconclusive evidence is not a contradiction.
index,"1343 Nashua St, Houston, TX 77008",pmt_1343-nashua-st-77008,Split Lot,Unknown,Common Driveway,unknown,"one whole lot; units=1 (one address); master_size=2 (25053861); depth_ft=99.9998; geometry=HCAD unique exact-address polygon; parcel=0391250000982; parcel_history={'event': 'SPLIT', 'vintage': '2025_Oct->2026_Jul', 'parents': ['0391250000982'], 'children': ['0391250001013', '0391250000982'], 'source': 'refresh/parcel_events.json'}; measured depth within 0.01 ft of 100-ft boundary",Retain stored label: classifier abstains; missing or inconclusive evidence is not a contradiction.
index,"2013 Sheldon St A, Houston, TX 77008",pmt_2013-sheldon-st-a-77008,Split Lot,Common Driveway,Common Driveway,high,"replat child; units=2 (distinct address unit letters); master_size=2 (25078195); depth_ft=95.5382; geometry=HCAD unique exact-address polygon; parcel=1492190010002; parcel_history={'event': 'SPLIT', 'vintage': '2025_Oct->2026_Jul', 'parents': ['0121720000002'], 'children': ['1492190010002', '1492190010001', '1492190010003'], 'source': 'refresh/parcel_events.json'}",Classifier provisionally preferred: short exact-address parcel plus subdivision/unit evidence supports common access; access still needs human confirmation.
index,"2013 Sheldon St B, Houston, TX 77008",pmt_2013-sheldon-st-b-77008,Split Lot,Common Driveway,Common Driveway,high,"replat child; units=2 (distinct address unit letters); master_size=2 (25078195); depth_ft=95.5384; geometry=HCAD unique exact-address polygon; parcel=1492190010001; parcel_history={'event': 'SPLIT', 'vintage': '2025_Oct->2026_Jul', 'parents': ['0121720000002'], 'children': ['1492190010002', '1492190010001', '1492190010003'], 'source': 'refresh/parcel_events.json'}",Classifier provisionally preferred: short exact-address parcel plus subdivision/unit evidence supports common access; access still needs human confirmation.
index,"930 Waverly St, Houston, TX 77008",pmt_930-waverly-st-77008,Single Lot,Unknown,Unknown,unknown,assembled 2 lots -> needs_review; units=1 (one address); master_size=None (none); depth_ft=132.2451; geometry=HCAD unique exact-address polygon; parcel=0202320000030; parcel_history=none,Retain stored label: classifier abstains; missing or inconclusive evidence is not a contradiction.
index,"529 W 27th St, Houston, TX 77008",pmt_529-w-27th-st-77008,Split Lot,Unknown,Unknown,unknown,no legal; units=1 (one address); master_size=2 (25102310); depth_ft=None; geometry=unavailable; parcel=unavailable; parcel_history=none,Retain stored label: classifier abstains; missing or inconclusive evidence is not a contradiction.
index,"1432 Alexander St, Houston, TX 77008",pmt_1432-alexander-st-77008,Split Lot,Unknown,Single Lot,unknown,"one whole lot; units=1 (one address); master_size=None (none); depth_ft=101.0003; geometry=HCAD unique exact-address polygon; parcel=0391220000855; parcel_history={'event': 'SPLIT', 'vintage': '2025_Oct->2026_Jul', 'parents': ['0391220000789'], 'children': ['0391220000855', '0391220000854', '0391220000789'], 'source': 'refresh/parcel_events.json'}",Retain stored label: classifier abstains; missing or inconclusive evidence is not a contradiction.
index,"711 E 25th St A, Houston, TX 77008",pmt_711-e-25th-st-a-77008,Split Lot,Unknown,Split Lot,unknown,no legal; units=2 (distinct address unit letters); master_size=2 (26011885); depth_ft=None; geometry=unavailable; parcel=unavailable; parcel_history=none,Retain stored label: classifier abstains; missing or inconclusive evidence is not a contradiction.
index,"711 E 25th St B, Houston, TX 77008",pmt_711-e-25th-st-b-77008,Split Lot,Unknown,Split Lot,unknown,no legal; units=2 (distinct address unit letters); master_size=2 (26011885); depth_ft=None; geometry=unavailable; parcel=unavailable; parcel_history=none,Retain stored label: classifier abstains; missing or inconclusive evidence is not a contradiction.
index,"1320 Alexander St A, Houston, TX 77008",pmt_1320-alexander-st-a-77008,Split Lot,Unknown,Split Lot,unknown,no legal; units=2 (distinct address unit letters); master_size=2 (26009078); depth_ft=None; geometry=unavailable; parcel=unavailable; parcel_history=none,Retain stored label: classifier abstains; missing or inconclusive evidence is not a contradiction.
index,"1320 Alexander St B, Houston, TX 77008",pmt_1320-alexander-st-b-77008,Split Lot,Unknown,Split Lot,unknown,no legal; units=2 (distinct address unit letters); master_size=2 (26009078); depth_ft=None; geometry=unavailable; parcel=unavailable; parcel_history=none,Retain stored label: classifier abstains; missing or inconclusive evidence is not a contradiction.
index,"918 Dorothy St, Houston, TX 77008",pmt_918-dorothy-st-77008,Single Lot,Split Lot,Split Lot,high,fragment only; units=1 (one address); master_size=None (none); depth_ft=142.1293; geometry=HCAD unique exact-address polygon; parcel=0600850100018; parcel_history=none,"Unresolved: classifier measures a deep fragment/replat parcel, but that does not prove two homes or invalidate a reviewed Single label. Obtain the plat; retain stored label."
index,"112 E 27th St A, Houston, TX 77008",pmt_112-e-27th-st-a-77008,Split Lot,Unknown,Unknown,unknown,no legal; units=1 (distinct address unit letters); master_size=2 (25071971); depth_ft=None; geometry=unavailable; parcel=unavailable; parcel_history=none,Retain stored label: classifier abstains; missing or inconclusive evidence is not a contradiction.
index,"705 E 13th St, Houston, TX 77008",pmt_705-e-13th-st-77008,Single Lot,Unknown,Split Lot,unknown,replat child; units=1 (one address); master_size=None (none); depth_ft=125.0899; geometry=HCAD unique exact-address polygon; parcel=0522740000023; parcel_history=none,Retain stored label: classifier abstains; missing or inconclusive evidence is not a contradiction.
index,"745 E 16th St, Houston, TX 77008",pmt_745-e-16th-st-77008,Single Lot,Unknown,Split Lot,unknown,replat child; units=1 (one address); master_size=None (none); depth_ft=101.5431; geometry=HCAD unique exact-address polygon; parcel=0542960000025; parcel_history=none,Retain stored label: classifier abstains; missing or inconclusive evidence is not a contradiction.
index,1322 Lawrence Street,act_1322-lawrence-street,Split Lot,Common Driveway,Common Driveway,high,"one whole lot; units=1 (one address); master_size=3 (25103369); depth_ft=101.0003; geometry=HCAD unique exact-address polygon; parcel=0391320000072; parcel_history={'event': 'SPLIT', 'vintage': '2025_Oct->2026_Jul', 'parents': ['0391320000009'], 'children': ['0391320000072', '0391320000071', '0391320000009'], 'source': 'refresh/parcel_events.json'}",Stored label preferred pending access/plat review: unit/master size alone does not prove common access on a full-depth parcel.
index,"1434 Herkimer St, Houston, TX 77008",pmt_1434-herkimer-st-77008,Single Lot,Split Lot,Split Lot,high,lot + fragment; units=1 (one address); master_size=None (none); depth_ft=133.272; geometry=HCAD unique exact-address polygon; parcel=0201450000002; parcel_history=none,"Unresolved: classifier measures a deep fragment/replat parcel, but that does not prove two homes or invalidate a reviewed Single label. Obtain the plat; retain stored label."
index,"902 Jewett St, Houston, TX 77009",pmt_902-jewett-st-77009,Single Lot,Unknown,Split Lot,unknown,fragment only; units=1 (one address); master_size=None (none); depth_ft=100.0002; geometry=HCAD unique exact-address polygon; parcel=0331300900008; parcel_history=none; measured depth within 0.01 ft of 100-ft boundary,Retain stored label: classifier abstains; missing or inconclusive evidence is not a contradiction.
