id,address,group,account,match_status,legal,depth_ft,width_ft,area_sf,unit_letters,unit_count,master_size,master_source,parcel_history,improvement_value,land_value,recommendation,blocking_reason,evidence_source,dimensions_source,prior_geometry,prior_legal,prior_history,current_geometry,current_legal,current_history,unverified_context,context_queries
pmt_1001-e-27th-st-77009,"1001 E 27th St, Houston, TX 77009",ASSEMBLED_REVIEW,0350820240027,EXACT,LTS 27 & 28 BLK 24|SUNSET HEIGHTS,121.3116,50.202,6057.36,,1,,none,[],622788,450000,Review Single Lot possibility; assembled legal lots alone cannot confirm one home,Human confirmation of house count and access on assembled original lots; legal lot count does not equal home count.,HCAD public/public_query/MapServer/0 full attributes + WGS84 polygon; observed history refresh/parcel_events.json,"EPSG:2278 minimum rotated rectangle, not recorded lot dimensions",True,True,False,True,True,False,[],[]
2131208519,"1005 E 27th St, Houston, Tx 77009",ASSEMBLED_REVIEW,0350820240025,EXACT,LTS 25 & 26 BLK 24|SUNSET HEIGHTS,121.3685,50.1906,6059.0,,1,,none,[],38557,450000,Review Single Lot possibility; assembled legal lots alone cannot confirm one home,Human confirmation of house count and access on assembled original lots; legal lot count does not equal home count.,HCAD public/public_query/MapServer/0 full attributes + WGS84 polygon; observed history refresh/parcel_events.json,"EPSG:2278 minimum rotated rectangle, not recorded lot dimensions",True,True,False,True,True,False,[],[]
2131285466,"1017 Rutland St, Houston, Tx 77008",ASSEMBLED_REVIEW,0202090000013,EXACT,LTS 13 & 14 BLK 213|HOUSTON HEIGHTS,132.0533,66.6221,8791.55,,1,,none,[],89877,958320,Review Single Lot possibility; assembled legal lots alone cannot confirm one home,Human confirmation of house count and access on assembled original lots; legal lot count does not equal home count.,HCAD public/public_query/MapServer/0 full attributes + WGS84 polygon; observed history refresh/parcel_events.json,"EPSG:2278 minimum rotated rectangle, not recorded lot dimensions",True,True,False,True,True,False,[],[]
2131085991,"1439 Laird St, Houston, Tx 77008",ASSEMBLED_REVIEW,0391180000610,EXACT,LTS 610 611 612 & 613|HOUSTON HEIGHTS ANNEX,100.001,100.0005,10000.05,,1,,none,[],100,950000,Review Single Lot possibility; assembled legal lots alone cannot confirm one home,Human confirmation of house count and access on assembled original lots; legal lot count does not equal home count.,HCAD public/public_query/MapServer/0 full attributes + WGS84 polygon; observed history refresh/parcel_events.json,"EPSG:2278 minimum rotated rectangle, not recorded lot dimensions",True,True,False,True,True,False,[],[]
pmt_302-w-23rd-st-77008,"302 W 23rd St, Houston, TX 77008",ASSEMBLED_REVIEW,0200520000001,EXACT,LTS 1 & 2 BLK 56|HOUSTON HEIGHTS,131.0,50.0004,6550.03,,1,,none,[],611675,659585,Review Single Lot possibility; assembled legal lots alone cannot confirm one home,Human confirmation of house count and access on assembled original lots; legal lot count does not equal home count.,HCAD public/public_query/MapServer/0 full attributes + WGS84 polygon; observed history refresh/parcel_events.json,"EPSG:2278 minimum rotated rectangle, not recorded lot dimensions",True,True,False,True,True,False,[],[]
pmt_310-e-27th-st-77008,"310 E 27th St, Houston, TX 77008",ASSEMBLED_REVIEW,0350860320008,EXACT,LTS 8 & 9 BLK 32|SUNSET HEIGHTS,120.0001,50.0005,6000.01,,1,,none,[],834100,510000,Review Single Lot possibility; assembled legal lots alone cannot confirm one home,Human confirmation of house count and access on assembled original lots; legal lot count does not equal home count.,HCAD public/public_query/MapServer/0 full attributes + WGS84 polygon; observed history refresh/parcel_events.json,"EPSG:2278 minimum rotated rectangle, not recorded lot dimensions",True,True,False,True,True,False,[],[]
pmt_319-e-24th-st-77008,"319 E 24th St, Houston, TX 77008",ASSEMBLED_REVIEW,0350980550023,EXACT,LTS 23 & 24 BLK 55|SUNSET HEIGHTS,120.0005,50.0005,6000.06,,1,,none,[],997184,510000,Review Single Lot possibility; assembled legal lots alone cannot confirm one home,Human confirmation of house count and access on assembled original lots; legal lot count does not equal home count.,HCAD public/public_query/MapServer/0 full attributes + WGS84 polygon; observed history refresh/parcel_events.json,"EPSG:2278 minimum rotated rectangle, not recorded lot dimensions",True,True,False,True,True,False,[],[]
pmt_321-e-24th-st-77008,"321 E 24th St, Houston, TX 77008",ASSEMBLED_REVIEW,0350980550021,EXACT,LTS 21 & 22 BLK 55|SUNSET HEIGHTS,120.0001,50.0006,6000.02,,1,,none,[],109495,510000,Review Single Lot possibility; assembled legal lots alone cannot confirm one home,Human confirmation of house count and access on assembled original lots; legal lot count does not equal home count.,HCAD public/public_query/MapServer/0 full attributes + WGS84 polygon; observed history refresh/parcel_events.json,"EPSG:2278 minimum rotated rectangle, not recorded lot dimensions",True,True,False,True,True,False,[],[]
pmt_501-e-26th-st-77008,"501 E 26th St, Houston, TX 77008",ASSEMBLED_REVIEW,0350850300023,EXACT,LTS 23 & 24 BLK 30|SUNSET HEIGHTS,120.3136,50.0004,5999.9,,1,,none,[],71841,510000,Review Single Lot possibility; assembled legal lots alone cannot confirm one home,Human confirmation of house count and access on assembled original lots; legal lot count does not equal home count.,HCAD public/public_query/MapServer/0 full attributes + WGS84 polygon; observed history refresh/parcel_events.json,"EPSG:2278 minimum rotated rectangle, not recorded lot dimensions",True,True,False,True,True,False,[],[]
pmt_608-e-26th-st-77008,"608 E 26th St, Houston, TX 77008",ASSEMBLED_REVIEW,0350900400004,EXACT,LTS 4 & 5 BLK 40|SUNSET HEIGHTS,120.2149,49.9998,5999.94,,1,,none,[],1067041,510000,Review Single Lot possibility; assembled legal lots alone cannot confirm one home,Human confirmation of house count and access on assembled original lots; legal lot count does not equal home count.,HCAD public/public_query/MapServer/0 full attributes + WGS84 polygon; observed history refresh/parcel_events.json,"EPSG:2278 minimum rotated rectangle, not recorded lot dimensions",True,True,False,True,True,False,[],[]
pmt_706-e-7th-st-77007,"706 E 7th St, Houston, TX 77007",ASSEMBLED_REVIEW,0350290550001,EXACT,LT 2 & W 10 FT OF LT 4 BLK 55|STUDES SEC 2 5TH AMEND,124.9997,50.0002,6250.0,,1,,none,"[{""acct_continuity"": true, ""addresses"": {""child"": [""706 E  7TH ST"", ""710 E  7TH ST"", ""714 E  7TH ST""], ""parent"": [""710 E  7TH ST""]}, ""areas"": {""child_sf"": [6250.0, 6250.0, 8125.0], ""delta_pct"": 10.0, ""parent_sf"": [18749.9], ""sum_child_sf"": 20624.9, ""sum_parent_sf"": 18749.9}, ""child_accts"": [""0350290550001"", ""0350290550024"", ""0350290550023""], ""event"": ""PARTIAL"", ""lat"": 29.783166, ""lng"": -95.389326, ""parent_accts"": [""0350290550001""], ""vintage"": ""2024_Oct->2025_Oct""}]",1072165,562500,Review Single Lot possibility; assembled legal lots alone cannot confirm one home,Human confirmation of house count and access on assembled original lots; legal lot count does not equal home count.,HCAD public/public_query/MapServer/0 full attributes + WGS84 polygon; observed history refresh/parcel_events.json,"EPSG:2278 minimum rotated rectangle, not recorded lot dimensions",True,True,True,True,True,True,[],[]
pmt_818-lawrence-st-77007,"818 Lawrence St, Houston, TX 77007",ASSEMBLED_REVIEW,0621980010011,EXACT,LTS 11 & 12 BLK 1|HARDING HEIGHTS,100.0041,42.9999,4300.01,,1,,none,"[{""acct_continuity"": true, ""addresses"": {""child"": [""818 LAWRENCE ST""], ""parent"": [""818 LAWRENCE ST""]}, ""areas"": {""child_sf"": [4300.0], ""delta_pct"": -14.0, ""parent_sf"": [4999.9], ""sum_child_sf"": 4300.0, ""sum_parent_sf"": 4999.9}, ""child_accts"": [""0621980010011""], ""event"": ""RESHAPE"", ""lat"": 29.786024, ""lng"": -95.406662, ""parent_accts"": [""0621980010011""], ""vintage"": ""2025_Oct->2026_Jul""}]",864948,430000,Review Single Lot possibility; assembled legal lots alone cannot confirm one home,Human confirmation of house count and access on assembled original lots; legal lot count does not equal home count.,HCAD public/public_query/MapServer/0 full attributes + WGS84 polygon; observed history refresh/parcel_events.json,"EPSG:2278 minimum rotated rectangle, not recorded lot dimensions",True,True,True,True,True,True,[],[]
pmt_1006-nashua-st-77008,"1006 Nashua St, Houston, TX 77008",UNVERIFIED_PLAT,0771820130008,EXACT,LT 8 BLK 13|TIMBERGROVE MANOR SEC 3,137.4781,62.8696,8588.59,,1,,none,[],402583,402084,Unverified v9 candidate: Split Lot; retain Unknown pending plat/access review,Original plat/replat and access verification; subdivision name alone does not prove subdivision of a parent parcel.,HCAD public/public_query/MapServer/0 full attributes + WGS84 polygon; observed history refresh/parcel_events.json,"EPSG:2278 minimum rotated rectangle, not recorded lot dimensions",True,True,False,True,True,False,[],[]
pmt_1011-worthshire-st-77008,"1011 Worthshire St, Houston, TX 77008",UNVERIFIED_PLAT,0771820200019,EXACT,LT 19 BLK 18|TIMBERGROVE MANOR SEC 4,120.0635,64.9685,7367.85,,1,,none,[],,,Unverified v9 candidate: Split Lot; retain Unknown pending plat/access review,Original plat/replat and access verification; subdivision name alone does not prove subdivision of a parent parcel.,HCAD public/public_query/MapServer/0 full attributes + WGS84 polygon; observed history refresh/parcel_events.json,"EPSG:2278 minimum rotated rectangle, not recorded lot dimensions",True,True,False,True,True,False,[],[]
pmt_1021-ashland-st-77008,"1021 Ashland St, Houston, TX 77008",UNVERIFIED_PLAT,1417040010003,EXACT,LT 3 BLK 1|UNIKA VILLAGE IN THE HEIGHTS,131.9999,39.9998,5279.96,,1,,none,[],0,580800,Unverified v9 candidate: Split Lot; retain Unknown pending plat/access review,Original plat/replat and access verification; subdivision name alone does not prove subdivision of a parent parcel.,HCAD public/public_query/MapServer/0 full attributes + WGS84 polygon; observed history refresh/parcel_events.json,"EPSG:2278 minimum rotated rectangle, not recorded lot dimensions",True,True,False,True,True,False,[],[]
pmt_1023-grovewood-ln-77008,"1023 Grovewood Ln, Houston, TX 77008",UNVERIFIED_PLAT,0771810030023,EXACT,LT 23 BLK 3|TIMBERGROVE MANOR,117.6722,58.4283,6821.14,,1,,none,[],1046562,432000,Unverified v9 candidate: Split Lot; retain Unknown pending plat/access review,Original plat/replat and access verification; subdivision name alone does not prove subdivision of a parent parcel.,HCAD public/public_query/MapServer/0 full attributes + WGS84 polygon; observed history refresh/parcel_events.json,"EPSG:2278 minimum rotated rectangle, not recorded lot dimensions",True,True,False,True,True,False,[],[]
pmt_1110-jerome-st-77009,"1110 Jerome St, Houston, TX 77009",UNVERIFIED_PLAT,0620810030020,EXACT,LT 2 BLK 103|NORTH NORHILL,100.0022,50.1708,5008.56,,1,,none,[],293916,450000,Unverified v9 candidate: Split Lot; retain Unknown pending plat/access review,Original plat/replat and access verification; subdivision name alone does not prove subdivision of a parent parcel.,HCAD public/public_query/MapServer/0 full attributes + WGS84 polygon; observed history refresh/parcel_events.json,"EPSG:2278 minimum rotated rectangle, not recorded lot dimensions",True,True,False,True,True,False,[],[]
pmt_1115-nashua-st-77008,"1115 Nashua St, Houston, TX 77008",UNVERIFIED_PLAT,0771820110017,EXACT,LT 17 BLK 11|TIMBERGROVE MANOR SEC 2 AMEND,124.0003,120.0,14880.01,,1,,none,"[{""acct_continuity"": true, ""addresses"": {""child"": [""1115 NASHUA ST""], ""parent"": [""1115 NASHUA ST""]}, ""areas"": {""child_sf"": [14880.0], ""delta_pct"": 100.86, ""parent_sf"": [7408.3], ""sum_child_sf"": 14880.0, ""sum_parent_sf"": 7408.3}, ""child_accts"": [""0771820110017""], ""event"": ""RESHAPE"", ""lat"": 29.791084, ""lng"": -95.412755, ""parent_accts"": [""0771820110017""], ""vintage"": ""2025_Oct->2026_Jul""}, {""acct_continuity"": true, ""addresses"": {""child"": [""1115 NASHUA ST""], ""parent"": [""1111 NASHUA ST"", ""1115 NASHUA ST""]}, ""areas"": {""child_sf"": [14880.0], ""delta_pct"": -0.41, ""parent_sf"": [7410.0, 7408.3], ""sum_child_sf"": 14880.0, ""sum_parent_sf"": 14818.3}, ""child_accts"": [""0771820110017""], ""event"": ""ASSEMBLY"", ""lat"": 29.790913, ""lng"": -95.412751, ""parent_accts"": [""0771820110018"", ""0771820110017""], ""vintage"": ""2025_Oct->2026_Jul""}]",1044068,878400,Unverified v9 candidate: Split Lot; retain Unknown pending plat/access review,Original plat/replat and access verification; subdivision name alone does not prove subdivision of a parent parcel.,HCAD public/public_query/MapServer/0 full attributes + WGS84 polygon; observed history refresh/parcel_events.json,"EPSG:2278 minimum rotated rectangle, not recorded lot dimensions",True,True,True,True,True,True,[],[]
pmt_1134-adele-st-77009,"1134 Adele St, Houston, TX 77009",UNVERIFIED_PLAT,1446520010001,EXACT,LT 1 BLK 1|ADELE LANDING,100.0001,25.0001,2500.01,,1,,none,[],487741,175000,Unverified v9 candidate: Split Lot; retain Unknown pending plat/access review,Original plat/replat and access verification; subdivision name alone does not prove subdivision of a parent parcel.,HCAD public/public_query/MapServer/0 full attributes + WGS84 polygon; observed history refresh/parcel_events.json,"EPSG:2278 minimum rotated rectangle, not recorded lot dimensions",True,True,False,True,True,False,[],[]
pmt_1211-bay-oaks-rd-77008,"1211 Bay Oaks Rd, Houston, TX 77008",UNVERIFIED_PLAT,0771810060014,EXACT,LT 14 BLK 6|TIMBERGROVE MANOR,175.4352,64.2205,9808.0,,1,,none,[],950001,523800,Unverified v9 candidate: Split Lot; retain Unknown pending plat/access review,Original plat/replat and access verification; subdivision name alone does not prove subdivision of a parent parcel.,HCAD public/public_query/MapServer/0 full attributes + WGS84 polygon; observed history refresh/parcel_events.json,"EPSG:2278 minimum rotated rectangle, not recorded lot dimensions",True,True,False,True,True,False,[],[]
2131377369,"1214 Farwood St, Houston, Tx 77009",UNVERIFIED_PLAT,0571440000007,EXACT,LT 7 BLK 2|FARWOOD,102.2823,49.5373,4993.57,,1,,none,[],100551,185250,Unverified v9 candidate: Split Lot; retain Unknown pending plat/access review,Original plat/replat and access verification; subdivision name alone does not prove subdivision of a parent parcel.,HCAD public/public_query/MapServer/0 full attributes + WGS84 polygon; observed history refresh/parcel_events.json,"EPSG:2278 minimum rotated rectangle, not recorded lot dimensions",True,True,False,True,True,False,[],[]
pmt_1312-e-28th-st-a-77009,"1312 E 28th St A, Houston, TX 77009",UNVERIFIED_PLAT,0580150000005,EXACT,LT 5 BLK 3|EAST SUNSET HEIGHTS,100.0293,50.0009,5000.08,A,1,,none,[],490357,250000,Unverified v9 candidate: Split Lot; retain Unknown pending plat/access review,Original plat/replat and access verification; subdivision name alone does not prove subdivision of a parent parcel.,HCAD public/public_query/MapServer/0 full attributes + WGS84 polygon; observed history refresh/parcel_events.json,"EPSG:2278 minimum rotated rectangle, not recorded lot dimensions",True,True,False,True,True,False,[],[]
2131377372,"1315 Oleander St, Houston, Tx 77009",UNVERIFIED_PLAT,0571440000012,EXACT,LT 12 BLK 2|FARWOOD,99.3605,52.9295,5066.29,,1,,none,[],89028,185250,Unverified v9 candidate: Common Driveway; retain Unknown pending plat/access review,Original plat/replat and access verification; subdivision name alone does not prove subdivision of a parent parcel.,HCAD public/public_query/MapServer/0 full attributes + WGS84 polygon; observed history refresh/parcel_events.json,"EPSG:2278 minimum rotated rectangle, not recorded lot dimensions",True,True,False,True,True,False,[],[]
2131377371,"1317 Oleander St, Houston, Tx 77009",UNVERIFIED_PLAT,0571440000011,EXACT,LT 11 BLK 2|FARWOOD,101.4819,50.9187,5039.56,,1,,none,[],67796,185250,Unverified v9 candidate: Split Lot; retain Unknown pending plat/access review,Original plat/replat and access verification; subdivision name alone does not prove subdivision of a parent parcel.,HCAD public/public_query/MapServer/0 full attributes + WGS84 polygon; observed history refresh/parcel_events.json,"EPSG:2278 minimum rotated rectangle, not recorded lot dimensions",True,True,False,True,True,False,[],[]
pmt_1519-glen-oaks-st-77008,"1519 Glen Oaks St, Houston, TX 77008",UNVERIFIED_PLAT,0771820170009,EXACT,LT 9 BLK 17|TIMBERGROVE MANOR SEC 3,246.6927,84.8158,16066.41,,1,,none,[],834034,584757,Unverified v9 candidate: Split Lot; retain Unknown pending plat/access review,Original plat/replat and access verification; subdivision name alone does not prove subdivision of a parent parcel.,HCAD public/public_query/MapServer/0 full attributes + WGS84 polygon; observed history refresh/parcel_events.json,"EPSG:2278 minimum rotated rectangle, not recorded lot dimensions",True,True,False,True,True,False,[],[]
pmt_1520-winter-st-77007,"1520 Winter St, Houston, TX 77007",UNVERIFIED_PLAT,1477970010006,EXACT,LT 6 BLK 1|WINTER FALLS,65.7691,25.2572,1619.04,,1,,none,"[{""acct_continuity"": false, ""addresses"": {""child"": [""1520 WINTER ST"", ""1522 WINTER ST"", ""0 JOHNSON ST"", ""0 JOHNSON ST"", ""0 JOHNSON ST""], ""parent"": [""1520 WINTER ST""]}, ""areas"": {""child_sf"": [1619.0, 1787.4, 319.1, 225.4, 197.3], ""delta_pct"": -19.92, ""parent_sf"": [5180.0], ""sum_child_sf"": 4148.3, ""sum_parent_sf"": 5180.0}, ""child_accts"": [""1477970010006"", ""1477970010007"", ""1477970010008"", ""1477970010010"", ""1477970010009""], ""event"": ""PARTIAL"", ""lat"": 29.772471, ""lng"": -95.373406, ""parent_accts"": [""0051050000001""], ""vintage"": ""2024_Oct->2025_Oct""}]",229584,128760,Unverified v9 candidate: Common Driveway; retain Unknown pending plat/access review,Original plat/replat and access verification; subdivision name alone does not prove subdivision of a parent parcel.,HCAD public/public_query/MapServer/0 full attributes + WGS84 polygon; observed history refresh/parcel_events.json,"EPSG:2278 minimum rotated rectangle, not recorded lot dimensions",True,True,True,True,True,True,[],[]
