address,MLS,construction_phase,current_market_status,prior_stored_tag,conflict_class
807 W 22nd Street,44304073,interior,pending,[],[]
1434 Alexander Street,61282363,complete,pending,[],"[""C""]"
816 W 17TH Street,81354398,no evidenced phase,pending,[],"[""G""]"
814 W 17TH Street,62144090,no evidenced phase,pending,"[""pending""]","[""G""]"
827 W 16th Street Unit#A,89555500,mep_finals,pending,"[""listed"", ""mep_finals"", ""off_market_split""]","[""F""]"
314 W 21st Street,32141788,interior,pending,"[""interior""]",[]
116 E 23RD Street,81689864,complete,pending,[],"[""C""]"
1737 Tabor Street,89124616,untracked,sold,[],"[""G""]"
1207 Tabor Street,85478626,no evidenced phase,sold,"[""active_single"", ""listed"", ""market"", ""pending""]","[""F"", ""G""]"
1023 E 23rd Street,50869013,untracked,sold,[],"[""G""]"
903 Tabor Street,93127419,untracked,sold,[],"[""G""]"
107 E 24th Street,95407673,no evidenced phase,sold,"[""off_market_single""]","[""F"", ""G""]"
1520 Nicholson Street,33839156,no evidenced phase,sold,"[""listed"", ""off_market_single""]","[""F"", ""G""]"
1524 Nicholson St,64831168,untracked,sold,[],"[""G""]"
1106 Robbie Street,96094299,untracked,sold,[],"[""G""]"
710 E 18th Street,71056150,no evidenced phase,sold,"[""off_market_single"", ""pending""]","[""F"", ""G""]"
826 Ralfallen Street,88173016,complete,sold,"[""complete"", ""listed"", ""pending""]","[""A"", ""F""]"
709 Ridge Street,26903565,no evidenced phase,sold,"[""off_market_single""]","[""F"", ""G""]"
709 E 17th Street,72560168,complete,sold,"[""active_single"", ""complete"", ""listed"", ""pending""]","[""A"", ""F""]"
1023 Euclid Street,35621139,no evidenced phase,sold,"[""listed"", ""pending""]","[""F"", ""G""]"
402 Columbia Street,33729025,untracked,sold,[],"[""G""]"
406 Columbia Street,78950517,untracked,sold,[],"[""G""]"
1119 E 7th 1/2 Street,90671798,untracked,sold,[],"[""G""]"
726 E 7th Street,16593438,untracked,sold,[],"[""G""]"
2612 Greenleaf Street,65984026,untracked,sold,[],"[""G""]"
1001 E 7th 1/2 Street,19950202,untracked,sold,[],"[""G""]"
1316 Heslep Street,38995142,untracked,sold,[],"[""G""]"
602 Jewett Street Unit#A,94906411,untracked,sold,[],"[""G""]"
1438-A Dian Street,66717038,untracked,sold,[],"[""G""]"
1208 E 26th Street Unit#B,8458741,untracked,sold,[],"[""G""]"
1303 Cordell Street Unit#A,9530397,untracked,sold,[],"[""G""]"
1121 E 24th Street,13147368,untracked,sold,[],"[""G""]"
1125 E 24th Street,61559810,untracked,sold,[],"[""G""]"
310 E 28th St,78621450,untracked,sold,[],"[""G""]"
224 E 27th Street,79405032,untracked,sold,[],"[""G""]"
1524 W 21st St,76530080,untracked,sold,[],"[""G""]"
1122 E 27TH ST Unit#B,92767147,no evidenced phase,sold,"[""listed"", ""off_market_split""]","[""F"", ""G""]"
1229 Prince Street,97105255,no evidenced phase,sold,"[""off_market_split""]","[""F"", ""G""]"
406 E 28th Street,77501317,untracked,sold,[],"[""G""]"
1436 Alexander St,5279771,untracked,sold,[],"[""G""]"
404 E 28th Street,87693150,untracked,sold,[],"[""G""]"
1321 Alexander Street,10970361,untracked,sold,[],"[""G""]"
1516 Dorothy Street Unit#A,12794628,untracked,sold,[],"[""G""]"
1516 Dorothy Street Unit#C,24145604,untracked,sold,[],"[""G""]"
1324 Lawrence Street,10396812,complete,sold,[],"[""A""]"
1326 Lawrence Street,16373769,no evidenced phase,sold,"[""off_market_split"", ""pending""]","[""F"", ""G""]"
827 W 16th Street Unit#B,42479147,untracked,sold,[],"[""G""]"
525 W 26th Street,88804104,untracked,sold,[],"[""G""]"
527 W 26th Street,10589101,untracked,sold,[],"[""G""]"
2715 BEAUCHAMP Street,90312385,untracked,sold,[],"[""G""]"
611 E 25th Street Unit#A,30142567,no evidenced phase,sold,"[""pending""]","[""F"", ""G""]"
2713 BEAUCHAMP Street,60919011,untracked,sold,[],"[""G""]"
815 Lawrence Street Unit#A,93385395,no evidenced phase,sold,"[""off_market_split""]","[""F"", ""G""]"
815B Lawrence Street,69395685,untracked,sold,[],"[""G""]"
710 Waverly Street Unit#E,94092178,untracked,sold,[],"[""G""]"
