bucket,group,address,data_id,current_label,hcad_acct,legal_lines,whole_lots,tracts,hcad_area_sf,har_lot,plat_median_sf,plat_risk,chain_marker,unit_letter,parcel_events,deciding_signal,evidence_needed
GENUINELY-AMBIGUOUS,A,"1104 Gibbs St, Houston, TX 77009",,Single Lot,,,,,,,,,,,,"no parcel, no legal",geocode fix — no HCAD parcel contains this pin
GENUINELY-AMBIGUOUS,A,"1126 W 22nd St, Houston, Tx 77008",,(unlabeled),0610190020015,LTS 14 & 15 BLK 2|QUENSELL LAWN,2,0,14500,,7250,,,,,"14,500 sf — larger than any Heights full lot","unit count / site plan — too large for a lot-level product, likely Common Driveway or commercial"
GENUINELY-AMBIGUOUS,A,1207 Tabor Street,,Single Lot,,,,,,,,,,,,"no parcel, no legal",geocode fix — no HCAD parcel contains this pin
GENUINELY-AMBIGUOUS,A,"1610 W 21st St, Houston, Tx 77008",,(unlabeled),0561660000250,LTS 250 & 251|SHADY ACRES SEC 2,2,0,12654,,8206,,,,,"12,654 sf — larger than any Heights full lot","unit count / site plan — too large for a lot-level product, likely Common Driveway or commercial"
GENUINELY-AMBIGUOUS,A,1906 W 14th,,Single Lot,,,,,,,,,,,,"no parcel, no legal",geocode fix — no HCAD parcel contains this pin
GENUINELY-AMBIGUOUS,A,"427 E 24th St, Houston, Tx 77008",,(unlabeled),0350980560013,LTS 13 THRU 17 BLK 56|SUNSET HEIGHTS,5,0,14670,,5520,,,,,"14,670 sf — larger than any Heights full lot","unit count / site plan — too large for a lot-level product, likely Common Driveway or commercial"
GENUINELY-AMBIGUOUS,A,602 Jewett Street Unit#B,,Split Lot,,,,,,,,,,yes,,"no parcel, no legal",geocode fix — no HCAD parcel contains this pin
GENUINELY-AMBIGUOUS,A,"731 E 27th St, Houston, Tx 77009",,(unlabeled),0350810220024,LTS 24 THRU 29 BLK 22|SUNSET HEIGHTS,6,0,18000,,3015,,,,,"18,000 sf — larger than any Heights full lot","unit count / site plan — too large for a lot-level product, likely Common Driveway or commercial"
GENUINELY-AMBIGUOUS,A,"838 Waverly St, Houston, Tx 77007",,(unlabeled),0202370000031,LTS 31 32 & 33 BLK 241|HOUSTON HEIGHTS,3,0,13200,,4457,,,,,"13,200 sf — larger than any Heights full lot","unit count / site plan — too large for a lot-level product, likely Common Driveway or commercial"
GENUINELY-AMBIGUOUS,B,611 E 25th Street Unit#A,act_611-e-25th-street-unit-a,Split Lot,1398280010001,RES A BLK 1|SOJOURN HEIGHTS,0,0,17880,3000,,,yes,yes,,"17,880 sf — larger than any Heights full lot","unit count / site plan — too large for a lot-level product, likely Common Driveway or commercial"
GENUINELY-AMBIGUOUS,C,"1126 W 22nd St, Houston, Tx 77008",2131200820,(unlabeled),0610190020015,LTS 14 & 15 BLK 2|QUENSELL LAWN,2,0,14500,14500,7250,,,,,"14,500 sf — larger than any Heights full lot","unit count / site plan — too large for a lot-level product, likely Common Driveway or commercial"
GENUINELY-AMBIGUOUS,C,"1138 Fugate St, Houston, TX 77009",pmt_1138-fugate-st-77009,(unlabeled),,,,,,,,,,,,"no parcel, no legal",geocode fix — no HCAD parcel contains this pin
GENUINELY-AMBIGUOUS,C,"1211 Gibbs St, Houston, Tx 77009",2131318291,(unlabeled),0350930450029,LTS 29 THRU 34 BLK 45|SUNSET HEIGHTS,6,0,20491,20812,5989,,,,,"20,491 sf — larger than any Heights full lot","unit count / site plan — too large for a lot-level product, likely Common Driveway or commercial"
GENUINELY-AMBIGUOUS,C,"1211 N Durham Dr, Houston, Tx 77008",2131179219,(unlabeled),1468120010001,RES A BLK 1|FUR PAWS CENTER,0,0,12400,12400,,,,,,"12,400 sf — larger than any Heights full lot","unit count / site plan — too large for a lot-level product, likely Common Driveway or commercial"
GENUINELY-AMBIGUOUS,C,"1219 Bay Oaks Rd, Houston, Tx 77008",2131537524,(unlabeled),0771810060016,LT 16 BLK 6|TIMBERGROVE MANOR,1,0,16834,17600,7784,,,,,"16,834 sf — larger than any Heights full lot","unit count / site plan — too large for a lot-level product, likely Common Driveway or commercial"
GENUINELY-AMBIGUOUS,C,"1300 Waverly St, Houston, Tx 77008",2131146860,(unlabeled),0201720000019,LTS 19A 20A & 21A BLK 176|HOUSTON HEIGHTS,0,3,4932,5200,7263,,,,,"4,932 sf = 68% of plat median 7,263",frontage/depth from the parcel polygon (50x100 full vs 25x100 half)
GENUINELY-AMBIGUOUS,C,"1518 W 25th St, Houston, Tx 77008",2131330179,(unlabeled),0561650000288,TR 141E|SHADY ACRES SEC 2,0,1,20117,20136,5444,,,,,"20,117 sf — larger than any Heights full lot","unit count / site plan — too large for a lot-level product, likely Common Driveway or commercial"
GENUINELY-AMBIGUOUS,C,"1522 Glen Oaks St, Houston, Tx 77008",2131538738,(unlabeled),0771820170006,LT 6 BLK 17|TIMBERGROVE MANOR SEC 3,1,0,15954,16290,8706,,,,,"15,954 sf — larger than any Heights full lot","unit count / site plan — too large for a lot-level product, likely Common Driveway or commercial"
GENUINELY-AMBIGUOUS,C,"1602 Turnpike Rd, Houston, TX 77008",pmt_1602-turnpike-rd-77008,(unlabeled),0771820170019,LT 19 BLK 17|TIMBERGROVE MANOR SEC 3,1,0,17339,,8706,,,,,"17,339 sf — larger than any Heights full lot","unit count / site plan — too large for a lot-level product, likely Common Driveway or commercial"
GENUINELY-AMBIGUOUS,C,"1610 W 21st St, Houston, Tx 77008",2131331239,(unlabeled),0561660000250,LTS 250 & 251|SHADY ACRES SEC 2,2,0,12654,12600,8206,,,,,"12,654 sf — larger than any Heights full lot","unit count / site plan — too large for a lot-level product, likely Common Driveway or commercial"
GENUINELY-AMBIGUOUS,C,"1808 N Shepherd Dr, Houston, Tx 77008",2131187484,(unlabeled),1455700010001,RES A BLK 1|HEIGHTS HAVEN,0,0,19650,19646,,,,,,"19,650 sf — larger than any Heights full lot","unit count / site plan — too large for a lot-level product, likely Common Driveway or commercial"
GENUINELY-AMBIGUOUS,C,"2119 Gostick St, Houston, Tx 77008",2131129729,(unlabeled),0151570000010,TRS 10 & 11A BLK 1|GOSTICK,0,2,4600,4600,5700,,,,,"4,600 sf = 81% of plat median 5,700",frontage/depth from the parcel polygon (50x100 full vs 25x100 half)
GENUINELY-AMBIGUOUS,C,"2436 White Oak Dr, Houston, TX 77009",pmt_2436-white-oak-dr-77009,(unlabeled),,,,,,,,,,,,"no parcel, no legal",geocode fix — no HCAD parcel contains this pin
GENUINELY-AMBIGUOUS,C,"404 W 21st St, Houston, Tx 77008",2131186526,(unlabeled),0200800000001,LTS 1 THRU 9 BLK 84|HOUSTON HEIGHTS,9,0,29473,29475,6550,,,,,"29,473 sf — larger than any Heights full lot","unit count / site plan — too large for a lot-level product, likely Common Driveway or commercial"
GENUINELY-AMBIGUOUS,C,"423 E 28th St, Houston, Tx 77008",2131207530,(unlabeled),0350760120013,LT 13 & TR 14A BLK 12|SUNSET HEIGHTS,1,1,4448,4350,5754,,,,,"4,448 sf = 77% of plat median 5,754",frontage/depth from the parcel polygon (50x100 full vs 25x100 half)
GENUINELY-AMBIGUOUS,C,"427 E 24th St, Houston, Tx 77008",2131318786,(unlabeled),0350980560013,LTS 13 THRU 17 BLK 56|SUNSET HEIGHTS,5,0,14670,15000,5520,,,,,"14,670 sf — larger than any Heights full lot","unit count / site plan — too large for a lot-level product, likely Common Driveway or commercial"
GENUINELY-AMBIGUOUS,C,"519 Threlkeld St, Houston, Tx 77007",2130814684,(unlabeled),1244690010005,LT 5 BLK 1|THRELKELD POINT,1,0,4758,4758,,,,,,"4,758 sf in the 4-5k dead zone, no plat median",per-plat threshold or frontage measurement
GENUINELY-AMBIGUOUS,C,"631 Mazal (Pvt) Ln, Houston, TX 77009",pmt_631-mazal-pvt-ln-77009,(unlabeled),1368390010007,LTS 7 8 & 9 BLK 1|NORTHWOOD ESTATES,3,0,4170,,1399,,yes,,,"legal claims 3 lots but only 4,170 sf",HCAD legal refresh / plat check — is the legal stale after a split?
GENUINELY-AMBIGUOUS,C,"707 E 6th 1/2 St, Houston, Tx 77007",2131074923,(unlabeled),0350290550020,LTS 21 22 & 23 & TRS 20 & 24|BLK 55|STUDES SEC 2,3,2,24983,23750,6250,,,,,"24,983 sf — larger than any Heights full lot","unit count / site plan — too large for a lot-level product, likely Common Driveway or commercial"
GENUINELY-AMBIGUOUS,C,"710 E 13th St, Houston, Tx 77008",2161199012,(unlabeled),1393250010002,LT 2 BLK 1|EAST 13TH STREET GROVE,1,0,4785,4784,,,,,,"4,785 sf in the 4-5k dead zone, no plat median",per-plat threshold or frontage measurement
GENUINELY-AMBIGUOUS,C,"731 E 27th St, Houston, Tx 77009",2131208376,(unlabeled),0350810220024,LTS 24 THRU 29 BLK 22|SUNSET HEIGHTS,6,0,18000,18000,3015,,,,,"18,000 sf — larger than any Heights full lot","unit count / site plan — too large for a lot-level product, likely Common Driveway or commercial"
GENUINELY-AMBIGUOUS,C,"745 E 11th 1/2 St, Houston, Tx 77008",2131240334,(unlabeled),0350190360013,LTS 13 & 14 BLK 36|STUDES SEC 2,2,0,12473,12500,6243,,,,,"12,473 sf — larger than any Heights full lot","unit count / site plan — too large for a lot-level product, likely Common Driveway or commercial"
GENUINELY-AMBIGUOUS,C,"745 W 17th St, Houston, TX 77008",pmt_745-w-17th-st-77008,(unlabeled),1365530010001,LTS 1 THRU 10 BLK 1|CITY VIEW LOFTS AT W 17TH,10,0,16983,,,,,,,"16,983 sf — larger than any Heights full lot","unit count / site plan — too large for a lot-level product, likely Common Driveway or commercial"
GENUINELY-AMBIGUOUS,C,"832 E 27th St, Houston, TX 77009",pmt_832-e-27th-st-77009,(unlabeled),,,,,,,,,,,,"no parcel, no legal",geocode fix — no HCAD parcel contains this pin
GENUINELY-AMBIGUOUS,C,"835 Lawrence St, Houston, TX 77007",pmt_835-lawrence-st-77007,(unlabeled),0621980020043,LTS 43 & 44 & S 7 FT OF LT 45 BLK 2|HARDING HEIGHTS,3,0,5700,,2750,,,,,"legal claims 3 lots but only 5,700 sf",HCAD legal refresh / plat check — is the legal stale after a split?
GENUINELY-AMBIGUOUS,C,"838 Waverly St, Houston, Tx 77007",2131044801,(unlabeled),0202370000031,LTS 31 32 & 33 BLK 241|HOUSTON HEIGHTS,3,0,13200,13200,4457,,,,,"13,200 sf — larger than any Heights full lot","unit count / site plan — too large for a lot-level product, likely Common Driveway or commercial"
GENUINELY-AMBIGUOUS,C,"902 W 22nd St, Houston, Tx 77008",2131200768,(unlabeled),0610190010019,LTS 22 23 & 24 BLK 1|QUENSELL LAWN,3,0,23940,22028,7250,,,,,"23,940 sf — larger than any Heights full lot","unit count / site plan — too large for a lot-level product, likely Common Driveway or commercial"
GENUINELY-AMBIGUOUS,C,"905 Bay Oaks Rd, Houston, Tx 77008",2131538718,(unlabeled),0771820160010,LT 10 BLK 16|TIMBERGROVE MANOR SEC 3,1,0,13835,14450,8706,,,,,"13,835 sf — larger than any Heights full lot","unit count / site plan — too large for a lot-level product, likely Common Driveway or commercial"
GENUINELY-AMBIGUOUS,C,"906 W 20th St A, Houston, TX 77008",pmt_906-w-20th-st-a-77008,(unlabeled),0561670000432,TR 317C|SHADY ACRES EXTN SEC 3,0,1,10889,,3824,,yes,yes,,"5 lettered units on one parcel (10,889 sf)",not a Single/Split call — Common Driveway or multi-unit; confirm unit count and use that category
GENUINELY-AMBIGUOUS,C,"906 W 20th St B, Houston, TX 77008",pmt_906-w-20th-st-b-77008,(unlabeled),0561670000432,TR 317C|SHADY ACRES EXTN SEC 3,0,1,10889,,3824,,yes,yes,,"5 lettered units on one parcel (10,889 sf)",not a Single/Split call — Common Driveway or multi-unit; confirm unit count and use that category
GENUINELY-AMBIGUOUS,C,"906 W 20th St C, Houston, TX 77008",pmt_906-w-20th-st-c-77008,(unlabeled),0561670000432,TR 317C|SHADY ACRES EXTN SEC 3,0,1,10889,,3824,,yes,yes,,"5 lettered units on one parcel (10,889 sf)",not a Single/Split call — Common Driveway or multi-unit; confirm unit count and use that category
GENUINELY-AMBIGUOUS,C,"906 W 20th St E, Houston, TX 77008",pmt_906-w-20th-st-e-77008,(unlabeled),0561670000432,TR 317C|SHADY ACRES EXTN SEC 3,0,1,10889,,3824,,yes,yes,,"5 lettered units on one parcel (10,889 sf)",not a Single/Split call — Common Driveway or multi-unit; confirm unit count and use that category
GENUINELY-AMBIGUOUS,C,"906 W 20th St F, Houston, TX 77008",pmt_906-w-20th-st-f-77008,(unlabeled),0561670000432,TR 317C|SHADY ACRES EXTN SEC 3,0,1,10889,,3824,,yes,yes,,"5 lettered units on one parcel (10,889 sf)",not a Single/Split call — Common Driveway or multi-unit; confirm unit count and use that category
GENUINELY-AMBIGUOUS,C,"Enid St, Houston, Tx 77009",2177158676,(unlabeled),0690710020001,LT 1 BLK 1|MCFARLAND COURT 3RD PAR R/P,1,0,4111,4111,6479,,,,,"4,111 sf = 63% of plat median 6,479",frontage/depth from the parcel polygon (50x100 full vs 25x100 half)
GENUINELY-AMBIGUOUS,C,"Enid St, Houston, Tx 77009",2177158678,(unlabeled),0690710020003,LT 3 BLK 1|MCFARLAND COURT 3RD PAR R/P,1,0,4112,4111,6479,,,,,"4,112 sf = 63% of plat median 6,479",frontage/depth from the parcel polygon (50x100 full vs 25x100 half)
RESOLVED-SINGLE,A,1011 E 25th Street,,Single Lot,0350930460040,LTS 40 41 42 & 43 BLK 46|SUNSET HEIGHTS,4,0,11971,,5989,,,,,"legal assembled 4 lots, 11,971 sf >= 4x2400",
RESOLVED-SINGLE,A,"117 E 25th St, Houston, Tx 77008",,(unlabeled),0562820000009,LTS 8 & 9 BLK 8|MILROY PLACE,2,0,9464,,4836,YES,,,,"legal assembled 2 lots, 9,464 sf >= 2x2400",
RESOLVED-SINGLE,A,"1310 Omar St, Houston, Tx 77008",,(unlabeled),0350240460009,LTS 9 & 10 BLK 46|STUDES SEC 2,2,0,6261,,6255,,,,,"legal assembled 2 lots, 6,261 sf >= 2x2400",
RESOLVED-SINGLE,A,"1402 W 14th St, Houston, Tx 77008",,(unlabeled),0391270000026,LTS 1058 & 1059|HOUSTON HEIGHTS ANNEX,2,0,4973,,3700,,,,,"legal assembled 2 lots, 4,973 sf >= 2x2400",
RESOLVED-SINGLE,A,"1436 Dorothy St, Houston, Tx 77008",,(unlabeled),0391210000738,LTS 738 & 739|HOUSTON HEIGHTS ANNEX,2,0,5050,,2525,,,,,"legal assembled 2 lots, 5,050 sf >= 2x2400",
RESOLVED-SINGLE,A,"201 E 26th St, Houston, Tx 77008",,(unlabeled),0350870330033,LTS 33 & 34 & TR 32A BLK 33|SUNSET HEIGHTS,2,1,6655,,3000,,,,,"legal assembled 2 lots, 6,655 sf >= 2x2400",
RESOLVED-SINGLE,A,"212 E 25th St, Houston, Tx 77008",,(unlabeled),0562800000012,LT 12 & E 7FT OF LT 13 BLK 6|MILROY PLACE,2,0,5908,,5253,YES,,,,"legal assembled 2 lots, 5,908 sf >= 2x2400",
RESOLVED-SINGLE,A,227 E 26th Street,,Split Lot,0350870330001,LTS 1 2 & 3 BLK 33|SUNSET HEIGHTS,3,0,9000,,3000,,,,,"legal assembled 3 lots, 9,000 sf >= 3x2400",
RESOLVED-SINGLE,A,231 E 26th Street,,Single Lot,0350870330001,LTS 1 2 & 3 BLK 33|SUNSET HEIGHTS,3,0,9000,,3000,,,,,"legal assembled 3 lots, 9,000 sf >= 3x2400",
RESOLVED-SINGLE,A,248 W 22nd Street,,Single Lot,0200690000048,LTS 24 & 25 & TR 59 BLK 73|HOUSTON HEIGHTS,2,1,7050,,7050,,,,,"legal assembled 2 lots, 7,050 sf >= 2x2400",
RESOLVED-SINGLE,A,"310 E 25th St, Houston, Tx 77008",,Single Lot,0350980550005,LTS 5 & 6 BLK 55|SUNSET HEIGHTS,2,0,6085,,5520,,,,,"legal assembled 2 lots, 6,085 sf >= 2x2400",
RESOLVED-SINGLE,A,"318 W 21st St B (est), Houston, TX 77008",,(unlabeled),0200810000009,LTS 9 10 & TRS 11 & 54 BLK 85|HOUSTON HEIGHTS,2,2,10360,,4666,YES,,yes,,"legal assembled 2 lots, 10,360 sf >= 2x2400",
RESOLVED-SINGLE,A,318 W 21st Street,,Split Lot,0200810000009,LTS 9 10 & TRS 11 & 54 BLK 85|HOUSTON HEIGHTS,2,2,10360,,4666,YES,,,,"legal assembled 2 lots, 10,360 sf >= 2x2400",
RESOLVED-SINGLE,A,"433 W 23rd St, Houston, TX 77008",,Single Lot,0200420000034,LTS 34 35 & 36 BLK 46|HOUSTON HEIGHTS,3,0,9825,,3279,,,,,"legal assembled 3 lots, 9,825 sf >= 3x2400",
RESOLVED-SINGLE,A,"500 Aurora St, Houston, Tx 77008",,(unlabeled),0350950500001,LTS 1 & 2 BLK 50|SUNSET HEIGHTS,2,0,6000,,6000,,,,,"legal assembled 2 lots, 6,000 sf >= 2x2400",
RESOLVED-SINGLE,A,"520 W 24th St, Houston, Tx 77008",,(unlabeled),0200430000011,LTS 11 & 12 BLK 47|HOUSTON HEIGHTS,2,0,6550,,3275,,,,,"legal assembled 2 lots, 6,550 sf >= 2x2400",
RESOLVED-SINGLE,A,"602 E 29th St, Houston, Tx 77008",,(unlabeled),0350760110016,LTS 16 & 17 BLK 11|SUNSET HEIGHTS,2,0,6000,,5754,,,,,"legal assembled 2 lots, 6,000 sf >= 2x2400",
RESOLVED-SINGLE,A,603 E 23rd Street,,Single Lot,0351050690021,LTS 21 & 22 BLK 69|SUNSET HEIGHTS,2,0,6000,,5966,,,,,"legal assembled 2 lots, 6,000 sf >= 2x2400",
RESOLVED-SINGLE,A,"608 E 29th St, Houston, Tx 77008",,(unlabeled),0350760110018,LTS 18 19 20 & 21 BLK 11|SUNSET HEIGHTS,4,0,12000,,5754,,,,,"legal assembled 4 lots, 12,000 sf >= 4x2400",
RESOLVED-SINGLE,A,"614 E 26th St, Houston, Tx 77008",,Single Lot,0350900400006,LTS 6 & 7 BLK 40|SUNSET HEIGHTS,2,0,6000,,5975,,,,,"legal assembled 2 lots, 6,000 sf >= 2x2400",
RESOLVED-SINGLE,A,"629 E 26th St, Houston, TX 77008",,Single Lot,0350850290026,LTS 26 & 27 BLK 29|SUNSET HEIGHTS,2,0,6195,,3001,,,,,"legal assembled 2 lots, 6,195 sf >= 2x2400",
RESOLVED-SINGLE,A,"716 E 25th St, Houston, Tx 77008",,(unlabeled),0351000590008,LTS 8 9 & 10 BLK 59|SUNSET HEIGHTS,3,0,9000,,4500,,,,,"legal assembled 3 lots, 9,000 sf >= 3x2400",
RESOLVED-SINGLE,A,"741 W 21st St, Houston, Tx 77008",,(unlabeled),0200740000027,LTS 27 & 28 BLK 78|HOUSTON HEIGHTS,2,0,6550,,5240,YES,,,,"legal assembled 2 lots, 6,550 sf >= 2x2400",
RESOLVED-SINGLE,A,"826 E 27th St, Houston, TX 77009",,Single Lot,0350840270012,LTS 12 & 13 BLK 27|SUNSET HEIGHTS,2,0,6000,,5256,YES,,,,"legal assembled 2 lots, 6,000 sf >= 2x2400",
RESOLVED-SINGLE,A,"830 E 26th St, Houston, Tx 77009",,(unlabeled),0350910420014,LTS 14 & 15 BLK 42|SUNSET HEIGHTS,2,0,6000,,4500,,,,,"legal assembled 2 lots, 6,000 sf >= 2x2400",
RESOLVED-SINGLE,A,830 E 27th Street,,Single Lot,0350820230037,LTS 37 & 38 BLK 23|SUNSET HEIGHTS,2,0,6010,,5980,,,,,"legal assembled 2 lots, 6,010 sf >= 2x2400",
RESOLVED-SINGLE,A,"839 E 26th St, Houston, Tx 77009",,(unlabeled),0350840270029,LTS 29 & 30 BLK 27|SUNSET HEIGHTS,2,0,6000,,5256,YES,,,,"legal assembled 2 lots, 6,000 sf >= 2x2400",
RESOLVED-SINGLE,A,"845 E 26th St, Houston, TX 77009",,Single Lot,0350840270025,LTS 25 & 26 BLK 27|SUNSET HEIGHTS,2,0,6000,,5256,YES,,,,"legal assembled 2 lots, 6,000 sf >= 2x2400",
RESOLVED-SINGLE,A,902 E 25TH Street,,Single Lot,0351010610001,LTS 1 & 2 BLK 61|SUNSET HEIGHTS,2,0,6090,,5919,,,,,"legal assembled 2 lots, 6,090 sf >= 2x2400",
RESOLVED-SINGLE,A,920 E 25TH Street,,Single Lot,0351010610010,LTS 10 & 11 BLK 61|SUNSET HEIGHTS,2,0,6060,,5919,,,,,"legal assembled 2 lots, 6,060 sf >= 2x2400",
RESOLVED-SINGLE,A,"930 Waverly St, Houston, TX 77008",,Single Lot,0202320000030,LTS 30 & 31 BLK 236|HOUSTON HEIGHTS,2,0,8803,,6618,,,,,"legal assembled 2 lots, 8,803 sf >= 2x2400",
RESOLVED-SINGLE,B,107 E 24th Street,act_107-e-24,Single Lot,0562750000011,LT 11 BLK 1|MILROY PLACE,1,0,5006,3394,5208,YES,,,,"legal LT n + 5,006 sf full lot",
RESOLVED-SINGLE,B,111 E 18th Street,act_111-e-18,Single Lot,0201320000001,LT 1 BLK 136|HOUSTON HEIGHTS,1,0,6633,2892,6633,,,,,"legal LT n + 6,633 sf full lot",
RESOLVED-SINGLE,B,1218 Prince Street,act_1218-prince-street,Split Lot,0582430030008,LT 8 BLK C|SHADYWOOD,1,0,6200,2576,6271,,,,,"legal LT n + 6,200 sf full lot",
RESOLVED-SINGLE,B,1315 Waverly Street,act_1315-waverly,Single Lot,1344550010001,LT 1 BLK 1|RENOVO HEIGHTS,1,0,8798,3610,,,,,,"legal LT n + 8,798 sf full lot",
RESOLVED-SINGLE,B,1321 Alexander Street,act_1321-alexander-street,Split Lot,0391310000012,LTS 1246 & 1247 & TR 1245A|HOUSTON HEIGHTS ANNEX,2,1,6358,3269,3366,,,,,"legal assembled 2 lots, 6,358 sf >= 2x2400",
RESOLVED-SINGLE,B,1326 Lawrence Street,act_1326-lawrence-street,Split Lot,0391320000033,LTS 1314 1315 & 1316|HOUSTON HEIGHTS ANNEX,3,0,7575,3000,2576,,yes,,,"legal assembled 3 lots, 7,575 sf >= 3x2400",
RESOLVED-SINGLE,B,1502 W 21st Street,act_1502-w-21,Split Lot,0561660000237,LT 237|SHADY ACRES SEC 2,1,0,7341,3727,8206,,,,,"legal LT n + 7,341 sf full lot",
RESOLVED-SINGLE,B,1504 W 21st Street,act_1504-w-21st-street,Split Lot,0561660000237,LT 237|SHADY ACRES SEC 2,1,0,7341,3316,8206,,,,,"legal LT n + 7,341 sf full lot",
RESOLVED-SINGLE,B,1520 W 21st St Unit#A,act_1520-w-21st-st-unit-a,Split Lot,0561660000335,LT 243|SHADY ACRES SEC 2,1,0,6284,2750,8206,,yes,yes,,"legal LT n + 6,284 sf full lot",
RESOLVED-SINGLE,B,227 E 26th Street,act_227-e-26th-street,Split Lot,0350870330001,LTS 1 2 & 3 BLK 33|SUNSET HEIGHTS,3,0,9000,2987,3000,,,,,"legal assembled 3 lots, 9,000 sf >= 3x2400",
RESOLVED-SINGLE,B,2603 JULIAN Street,act_2603-julian,Single Lot,0562890000003,LT 3 BLK 3|RIDGEMONT SEC 1,1,0,5169,3593,7624,,,,,"legal LT n + 5,169 sf full lot",
RESOLVED-SINGLE,B,3115 Beauchamp Street,act_3115-beauchamp,Single Lot,0372740000010,LT 2 & TRS 7A & 8A BLK 9|WOODLAND HEIGHTS,1,2,7497,3400,,,,,,"legal LT n + 2 TR + 7,497 sf full lot",
RESOLVED-SINGLE,B,318 W 21st Street,act_318-w-21st-street,Split Lot,0200810000009,LTS 9 10 & TRS 11 & 54 BLK 85|HOUSTON HEIGHTS,2,2,10360,2670,4666,YES,,,,"legal assembled 2 lots, 10,360 sf >= 2x2400",
RESOLVED-SINGLE,B,407 E 27TH Street,act_407-e-27th-street,Split Lot,0350800190018,LTS 18 & 19 BLK 19|SUNSET HEIGHTS,2,0,5945,3191,5866,,yes,,,"legal assembled 2 lots, 5,945 sf >= 2x2400",
RESOLVED-SINGLE,B,603 E 23rd Street,act_603-e-23,Single Lot,0351050690021,LTS 21 & 22 BLK 69|SUNSET HEIGHTS,2,0,6000,3970,5966,,,,,"legal assembled 2 lots, 6,000 sf >= 2x2400",
RESOLVED-SINGLE,B,611 E 25th Street Unit#B,act_611-e-25th-street-unit-b,Split Lot,0350950490019,LTS 19 & 20 BLK 49|SUNSET HEIGHTS,2,0,5996,3000,6000,,yes,yes,,"legal assembled 2 lots, 5,996 sf >= 2x2400",
RESOLVED-SINGLE,B,616 Ridge Street,act_616-ridge,Single Lot,0611820050007,LT 7 BLK 5|WOODLAND TERRACE,1,0,5178,3960,4986,YES,,,,"legal LT n + 5,178 sf full lot",
RESOLVED-SINGLE,B,711 E 26TH Street,act_711-e-26th-street,Split Lot,0350840280027,LTS 27 & 28 BLK 28|SUNSET HEIGHTS,2,0,6000,3002,5256,YES,yes,,,"legal assembled 2 lots, 6,000 sf >= 2x2400",
RESOLVED-SINGLE,B,814 W 17TH Street,act_814-w-17th-street,Split Lot,0201220000007,LTS 7 & 8 BLK 126|TR D (ABANDONED ALLEYWAY)|HOUSTON HEIGHTS,2,0,7504,2496,6467,,yes,,,"legal assembled 2 lots, 7,504 sf >= 2x2400",
